"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2017","END OF DEC","","COUNTY","UTAH","49","NORTHERN","10","CACHE","005","","","00000000","","AG LAND","AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $","TOTAL","NOT SPECIFIED","1,335,287,000","20.8"
"CENSUS","2017","END OF DEC","","COUNTY","UTAH","49","NORTHERN","10","CACHE","005","","","00000000","","AG LAND","AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","4,833","20.7"
"CENSUS","2017","END OF DEC","","COUNTY","UTAH","49","NORTHERN","10","CACHE","005","","","00000000","","AG LAND","AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION","TOTAL","NOT SPECIFIED","955,825","30.2"
"CENSUS","2017","END OF DEC","","COUNTY","UTAH","49","NORTHERN","10","CACHE","005","","","00000000","","AG LAND","AG LAND, INCL BUILDINGS - OPERATIONS WITH ASSET VALUE","TOTAL","NOT SPECIFIED","1,397","23.8"
"CENSUS","2017","END OF DEC","","COUNTY","UTAH","49","NORTHERN","10","CACHE","005","","","00000000","","AG LAND","AG LAND, INCL BUILDINGS - OPERATIONS WITH ASSET VALUE","VALUE","VALUE: (1,000,000 TO 1,999,999 $)","135","36.6"
"CENSUS","2017","END OF DEC","","COUNTY","UTAH","49","NORTHERN","10","CACHE","005","","","00000000","","AG LAND","AG LAND, INCL BUILDINGS - OPERATIONS WITH ASSET VALUE","VALUE","VALUE: (10,000,000 OR MORE $)","8","59.3"
"CENSUS","2017","END OF DEC","","COUNTY","UTAH","49","NORTHERN","10","CACHE","005","","","00000000","","AG LAND","AG LAND, INCL BUILDINGS - OPERATIONS WITH ASSET VALUE","VALUE","VALUE: (100,000 TO 199,999 $)","154","46.5"
"CENSUS","2017","END OF DEC","","COUNTY","UTAH","49","NORTHERN","10","CACHE","005","","","00000000","","AG LAND","AG LAND, INCL BUILDINGS - OPERATIONS WITH ASSET VALUE","VALUE","VALUE: (2,000,000 TO 4,999,999 $)","157","32.7"
"CENSUS","2017","END OF DEC","","COUNTY","UTAH","49","NORTHERN","10","CACHE","005","","","00000000","","AG LAND","AG LAND, INCL BUILDINGS - OPERATIONS WITH ASSET VALUE","VALUE","VALUE: (200,000 TO 499,999 $)","488","28.7"
"CENSUS","2017","END OF DEC","","COUNTY","UTAH","49","NORTHERN","10","CACHE","005","","","00000000","","AG LAND","AG LAND, INCL BUILDINGS - OPERATIONS WITH ASSET VALUE","VALUE","VALUE: (5,000,000 TO 9,999,999 $)","36","49.2"
