"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2017","YEAR","","COUNTY","UTAH","49","CENTRAL","50","JUAB","023","","","00000000","","PRODUCERS, PRINCIPAL","PRODUCERS, PRINCIPAL, AGE LE 35 - ACRES OPERATED","TOTAL","NOT SPECIFIED","11,600","59.2"
"CENSUS","2017","YEAR","","COUNTY","UTAH","49","CENTRAL","50","JUAB","023","","","00000000","","PRODUCERS, PRINCIPAL","PRODUCERS, PRINCIPAL, AMERICAN INDIAN OR ALASKA NATIVE - ACRES OPERATED","TOTAL","NOT SPECIFIED","52,515","2.0"
"CENSUS","2017","YEAR","","COUNTY","UTAH","49","CENTRAL","50","JUAB","023","","","00000000","","PRODUCERS, PRINCIPAL","PRODUCERS, PRINCIPAL, FEMALE - ACRES OPERATED","TOTAL","NOT SPECIFIED","56,587","48.1"
"CENSUS","2017","YEAR","","COUNTY","UTAH","49","CENTRAL","50","JUAB","023","","","00000000","","PRODUCERS, PRINCIPAL","PRODUCERS, PRINCIPAL, HISPANIC - ACRES OPERATED","TOTAL","NOT SPECIFIED","4","88.8"
"CENSUS","2017","YEAR","","COUNTY","UTAH","49","CENTRAL","50","JUAB","023","","","00000000","","PRODUCERS, PRINCIPAL","PRODUCERS, PRINCIPAL, MALE - ACRES OPERATED","TOTAL","NOT SPECIFIED","260,552","6.4"
"CENSUS","2017","YEAR","","COUNTY","UTAH","49","CENTRAL","50","JUAB","023","","","00000000","","PRODUCERS, PRINCIPAL","PRODUCERS, PRINCIPAL, MILITARY SERVICE, ACTIVE DUTY NOW OR IN THE PAST - ACRES OPERATED","TOTAL","NOT SPECIFIED","78,273","28.7"
"CENSUS","2017","YEAR","","COUNTY","UTAH","49","CENTRAL","50","JUAB","023","","","00000000","","PRODUCERS, PRINCIPAL","PRODUCERS, PRINCIPAL, WHITE - ACRES OPERATED","TOTAL","NOT SPECIFIED","212,129","14.4"
"CENSUS","2017","YEAR","","COUNTY","UTAH","49","CENTRAL","50","JUAB","023","","","00000000","","PRODUCERS, PRINCIPAL","PRODUCERS, PRINCIPAL, YEARS ON ANY OPERATION, LT 11 YEARS - ACRES OPERATED","TOTAL","NOT SPECIFIED","69,998","5.3"
"CENSUS","2017","YEAR","","COUNTY","UTAH","49","CENTRAL","50","MILLARD","027","","","00000000","","PRODUCERS, PRINCIPAL","PRODUCERS, PRINCIPAL, AGE LE 35 - ACRES OPERATED","TOTAL","NOT SPECIFIED","48,977","59.2"
"CENSUS","2017","YEAR","","COUNTY","UTAH","49","CENTRAL","50","MILLARD","027","","","00000000","","PRODUCERS, PRINCIPAL","PRODUCERS, PRINCIPAL, AMERICAN INDIAN OR ALASKA NATIVE - ACRES OPERATED","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","YEAR","","COUNTY","UTAH","49","CENTRAL","50","MILLARD","027","","","00000000","","PRODUCERS, PRINCIPAL","PRODUCERS, PRINCIPAL, FEMALE - ACRES OPERATED","TOTAL","NOT SPECIFIED","130,265","48.1"
"CENSUS","2017","YEAR","","COUNTY","UTAH","49","CENTRAL","50","MILLARD","027","","","00000000","","PRODUCERS, PRINCIPAL","PRODUCERS, PRINCIPAL, HISPANIC - ACRES OPERATED","TOTAL","NOT SPECIFIED","15,967","88.8"
"CENSUS","2017","YEAR","","COUNTY","UTAH","49","CENTRAL","50","MILLARD","027","","","00000000","","PRODUCERS, PRINCIPAL","PRODUCERS, PRINCIPAL, MALE - ACRES OPERATED","TOTAL","NOT SPECIFIED","470,826","6.4"
"CENSUS","2017","YEAR","","COUNTY","UTAH","49","CENTRAL","50","MILLARD","027","","","00000000","","PRODUCERS, PRINCIPAL","PRODUCERS, PRINCIPAL, MILITARY SERVICE, ACTIVE DUTY NOW OR IN THE PAST - ACRES OPERATED","TOTAL","NOT SPECIFIED","49,261","28.7"
"CENSUS","2017","YEAR","","COUNTY","UTAH","49","CENTRAL","50","MILLARD","027","","","00000000","","PRODUCERS, PRINCIPAL","PRODUCERS, PRINCIPAL, WHITE - ACRES OPERATED","TOTAL","NOT SPECIFIED","481,539","14.4"
"CENSUS","2017","YEAR","","COUNTY","UTAH","49","CENTRAL","50","MILLARD","027","","","00000000","","PRODUCERS, PRINCIPAL","PRODUCERS, PRINCIPAL, YEARS ON ANY OPERATION, LT 11 YEARS - ACRES OPERATED","TOTAL","NOT SPECIFIED","92,681","5.3"
"CENSUS","2017","YEAR","","COUNTY","UTAH","49","CENTRAL","50","SANPETE","039","","","00000000","","PRODUCERS, PRINCIPAL","PRODUCERS, PRINCIPAL, AGE LE 35 - ACRES OPERATED","TOTAL","NOT SPECIFIED","20,764","59.2"
"CENSUS","2017","YEAR","","COUNTY","UTAH","49","CENTRAL","50","SANPETE","039","","","00000000","","PRODUCERS, PRINCIPAL","PRODUCERS, PRINCIPAL, AMERICAN INDIAN OR ALASKA NATIVE - ACRES OPERATED","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","YEAR","","COUNTY","UTAH","49","CENTRAL","50","SANPETE","039","","","00000000","","PRODUCERS, PRINCIPAL","PRODUCERS, PRINCIPAL, ASIAN - ACRES OPERATED","TOTAL","NOT SPECIFIED","8,050","(H)"
